publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
Marian Wood/Putnam,0,,Sue Grafton,110161434X,0,9.78E+12,,by Sue Grafton,,10/11/15,X,NA,5,1
Morrow/HarperCollins,0,,Patricia Cornwell,None,0,9.78E+12,,by Patricia Cornwell,,8/30/15,FLESH AND BLOOD,NA,5,3
Random House Publishing,0,,Debbie Macomber,345535111,0,9.78E+12,,by Debbie Macomber,,5/24/15,THE INN AT ROSE HARBOR,NA,5,5
Putnam,0,,John Sandford,,0,9.78E+12,,by John Sandford,,11/23/14,DEADLINE,NA,5,1
Grand Central,0,,Sandra Brown,None,0,9.78E+12,,by Sandra Brown,,10/12/14,MEAN STREAK,NA,5,1
Barbara Freethy,0,,Barbara Freethy,None,0,9.78E+12,,by Barbara Freethy,,8/10/14,DON'T SAY A WORD,NA,5,5
Witness Impulse/HarperCollins,0,,Brian McGilloway,None,0,9.78E+12,,by Brian McGilloway,,5/11/14,LITTLE GIRL LOST,NA,5,3
"Little, Brown",0,,James Patterson and Mark Sullivan,316211117,0,9.78E+12,,by James Patterson and Mark Sullivan,,3/30/14,PRIVATE L.A.,NA,5,4
Simon & Schuster,0,,Graeme Simsion,,0,9.78E+12,https://www.nytimes.com/2013/10/20/books/review/graeme-simsions-rosie-project.html,by Graeme Simsion,,3/2/14,THE ROSIE PROJECT,NA,5,3
"Little, Brown",0,,James Patterson and David Ellis,316211060,0,9.78E+12,,by James Patterson and David Ellis,,9/22/13,MISTRESS,NA,5,1
"Little, Brown",0,,Michael Connelly,316069442,0,9.78E+12,,by Michael Connelly,,5/5/13,THE BLACK BOX,NA,5,3
"Little, Brown & Company",0,,James Patterson and Marshall Karp,316199893,0,9.78E+12,,by James Patterson and Marshall Karp,,11/25/12,NYPD RED,NA,5,1
Colleen Hoover,0,,Colleen Hoover,None,0,A00B006RUJST6,,by Colleen Hoover,,8/26/12,SLAMMED,NA,5,1
Grand Central Publishing,0,,Seth Grahame-Smith,446571857,0,9.78E+12,,by Seth Grahame-Smith,,7/22/12,ABRAHAM LINCOLN: VAMPIRE HUNTER,NA,5,4
Penguin Group,0,,John Sandford,,0,9.78E+12,,by John Sandford,,7/8/12,STOLEN PREY,NA,5,1
Ballantine,0,,Martha Hall Kelly,1101883081,0,9.78E+12,,by Martha Hall Kelly,,4/10/17,LILAC GIRLS,NA,4,1
Houghton Mifflin Harcourt,0,,Margaret Atwood,038549081X,0,9.78E+12,https://www.nytimes.com/1986/02/09/books/no-headline-423986.html,by Margaret Atwood,,4/10/17,THE HANDMAID'S TALE,NA,4,4
Dutton,0,,Lisa Gardner,698411439,0,9.78E+12,,by Lisa Gardner,,3/12/17,RIGHT BEHIND YOU,NA,4,3
Putnam,0,,John Sandford,None,0,9.78E+12,,by John Sandford,,11/27/16,ESCAPE CLAUSE,NA,4,1
"Little, Brown",0,,James Patterson and Mark Sullivan,031629019X,0,9.78E+12,,by James Patterson and Mark Sullivan,,8/7/16,THE GAMES,NA,4,1
St. Martin's,0,,Mary Kay Andrews,1466872926,0,9.78E+12,,by Mary Kay Andrews,,6/26/16,THE WEEKENDERS,NA,4,1
St. Martin's Griffin,0,,Sylvia Day,1250109310,0,9.78E+12,,by Sylvia Day,,5/15/16,ONE WITH YOU,NA,4,3
"Little, Brown",0,,James Patterson and Mark Sullivan,316408999,0,9.78E+12,,by James Patterson and Mark Sullivan,,4/24/16,PRIVATE PARIS,NA,4,1
Berkley,0,,Nora Roberts,425280101,0,9.78E+12,,by Nora Roberts,,12/13/15,STARS OF FORTUNE,NA,4,3
