publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,date,title,weeks_on_list,num_words_in_title
Jamie McGuire,0,,Jamie McGuire,None,0,A00B01GJ5LT0O,,by Jamie McGuire,9/4/16,A BEAUTIFUL FUNERAL,1,3
Blue Bolt,0,,Jasmine Walt and Rebecca Hamilton,None,0,A00B01FT4OAUW,,by Jasmine Walt and Rebecca Hamilton,9/4/16,SHADOW BORN,1,1
Penelope Ward,0,,Penelope Ward,1942215479,0,9.78E+12,,by Penelope Ward,9/4/16,NEIGHBOR DEAREST,1,1
Touchstone,0,,Philippa Gregory,1476758751,0,9.78E+12,,by Philippa Gregory,8/28/16,"THREE SISTERS, THREE QUEENS",1,4
Witness Impulse,0,,J A Jance,62499041,0,9.78E+12,,by J. A. Jance,8/28/16,RANDOM ACTS,1,1
Morrow/HarperCollins,0,,Kristen Pro,62434780,0,9.78E+12,,by Kristen Proby,8/28/16,CLOSE TO YOU,1,3
Putnam,0,,Stuart Woods and Parnell Hall,None,0,9.78E+12,,by Stuart Woods and Parnell Hall,8/21/16,SMOOTH OPERATOR,1,1
Berkley,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,8/21/16,DARK CAROUSEL,1,1
BookShots,0,,James Patterson with Michael Ledwidge,031636164X,0,9.78E+12,,by James Patterson with Michael Ledwidge,8/21/16,CHASE,1,1
St. Martin's,0,,Sherrilyn Kenyon,1250092418,0,9.78E+12,,by Sherrilyn Kenyon,8/21/16,DRAGONMARK,1,1
Jove,0,,Jayne Castle,None,0,9.78E+12,,by Jayne Castle,8/14/16,ILLUSION TOWN,1,1
HQN,0,,Marie Force,1459294920,0,9.78E+12,,by Marie Force,8/14/16,FATAL IDENTITY,1,1
Mira,0,,Ron Carr,1460346769,0,9.78E+12,,by Robyn Carr,8/14/16,THE HOUSE ON OLIVE STREET,1,5
Mira,0,,Heather Graham,1460395646,0,9.78E+12,,by Heather Graham,8/14/16,DEADLY FATE,1,1
Dutton,0,,Linda Fairstein,None,0,9.78E+12,,by Linda Fairstein,8/14/16,KILLER LOOK,1,1
New American Library,0,,J R Ward,None,0,9.78E+12,,by J. R. Ward,8/14/16,THE ANGELS' SHARE,1,3
St. Martin's,0,,Iris Johansen,1466887214,0,9.78E+12,,by Iris Johansen,8/7/16,NIGHT AND DAY,1,3
Waterhouse,0,,Helen Hardt,None,0,A00B01EGIKZVU,,by Helen Hardt,8/7/16,OBSESSION,1,1
Grand Central,0,,Nicholas Sparks,759527881,0,9.78E+12,,by Nicholas Sparks,7/31/16,THE GUARDIAN,1,1
Minotaur,0,,Linda Castillo,1466867272,0,9.78E+12,,by Linda Castillo,7/31/16,AMONG THE WICKED,1,3
